role_name,required_skill,importance_score
Cybersecurity Analyst,operations,0.09
Cybersecurity Analyst,security,0.09
Cybersecurity Analyst,security analysis,0.09
Cybersecurity Analyst,vpn,0.09
Cybersecurity Analyst,auditing,0.07
Cybersecurity Analyst,ips,0.07
Cybersecurity Analyst,isms,0.07
Cybersecurity Analyst,pci dss,0.07
Cybersecurity Analyst,risk assessment,0.07
Cybersecurity Analyst,vulnerability,0.07
Cybersecurity Analyst,vulnerability assessment,0.07
Cybersecurity Analyst,active directory,0.06
Cybersecurity Analyst,analytical,0.06
Cybersecurity Analyst,cisa,0.06
Cybersecurity Analyst,cissp,0.06
Cybersecurity Analyst,computer science,0.06
Cybersecurity Analyst,information security management,0.06
Cybersecurity Analyst,information technology,0.06
Cybersecurity Analyst,iso,0.06
Cybersecurity Analyst,it audit,0.06
Cybersecurity Analyst,it compliance,0.06
Cybersecurity Analyst,it operations,0.06
Cybersecurity Analyst,itil,0.06
Cybersecurity Analyst,network administration,0.06
Data Analyst,data analysis,0.53
Data Analyst,sql,0.34
Data Analyst,data analyst,0.28
Data Analyst,python,0.21
Data Analyst,data analytics,0.19
Data Analyst,data mining,0.15
Data Analyst,analytical,0.13
Data Analyst,analytics,0.11
Data Analyst,excel,0.11
Data Analyst,advanced excel,0.09
Data Analyst,mis reporting,0.09
Data Analyst,business intelligence,0.08
Data Analyst,data quality,0.08
Data Analyst,machine learning,0.08
Data Analyst,tableau,0.08
Data Analyst,vba,0.08
Data Analyst,computer science,0.06
Data Analyst,crm,0.06
Data Analyst,data collection,0.06
Data Analyst,google analytics,0.06
Data Analyst,hadoop,0.06
Data Analyst,hive,0.06
Data Analyst,mis preparation,0.06
Data Analyst,sas,0.06
Data Engineer,python,0.59
Data Engineer,sql,0.37
Data Engineer,big data,0.35
Data Engineer,java,0.28
Data Engineer,spark,0.22
Data Engineer,machine learning,0.2
Data Engineer,hadoop,0.17
Data Engineer,mysql,0.17
Data Engineer,nosql,0.17
Data Engineer,scala,0.17
Data Engineer,agile,0.15
Data Engineer,analytics,0.13
Data Engineer,automation,0.13
Data Engineer,computer science,0.13
Data Engineer,data modeling,0.13
Data Engineer,mapreduce,0.13
Data Engineer,data analysis,0.11
Data Engineer,data quality,0.11
Data Engineer,data structures,0.11
Data Engineer,etl,0.11
Data Engineer,hbase,0.11
Data Engineer,hive,0.11
Data Engineer,linux,0.11
Data Engineer,aws,0.09
Data Engineer,business intelligence,0.09
Data Engineer,coding,0.09
Data Engineer,data management,0.09
Data Engineer,metadata,0.09
Data Engineer,oozie,0.09
Data Engineer,pig,0.09
Data Engineer,analytical,0.07
Data Engineer,architecture,0.07
Data Engineer,azure,0.07
Data Engineer,data architecture,0.07
Data Engineer,data mining,0.07
Data Engineer,data science,0.07
Data Engineer,data warehousing,0.07
Data Engineer,design,0.07
Data Engineer,informatica,0.07
Data Engineer,monitoring,0.07
Data Engineer,performance tuning,0.07
Data Engineer,scrum,0.07
Data Scientist,python,0.65
Data Scientist,machine learning,0.61
Data Scientist,data science,0.39
Data Scientist,sql,0.32
Data Scientist,data mining,0.23
Data Scientist,big data,0.19
Data Scientist,deep learning,0.19
Data Scientist,natural language processing,0.16
Data Scientist,data visualization,0.14
Data Scientist,data analysis,0.12
Data Scientist,sas,0.12
Data Scientist,analytical,0.1
Data Scientist,analytics,0.1
Data Scientist,computer science,0.1
Data Scientist,spark,0.1
Data Scientist,artificial intelligence,0.09
Data Scientist,hadoop,0.09
Data Scientist,algorithms,0.08
Data Scientist,business intelligence,0.08
Data Scientist,predictive modeling,0.08
Data Scientist,advanced analytics,0.07
Data Scientist,data management,0.07
Data Scientist,matlab,0.07
Data Scientist,scala,0.07
Data Scientist,statistics,0.07
Data Scientist,data modeling,0.06
Data Scientist,html,0.06
Data Scientist,java,0.06
Data Scientist,nosql,0.06
Data Scientist,c++,0.05
Data Scientist,neural networks,0.05
Data Scientist,open source,0.05
Data Scientist,statistical analysis,0.05
Data Scientist,statistical modeling,0.05
Data Scientist,text mining,0.05
Database Administrator,database administration,0.36
Database Administrator,oracle dba,0.27
Database Administrator,performance tuning,0.19
Database Administrator,sql,0.18
Database Administrator,mysql,0.17
Database Administrator,dba,0.14
Database Administrator,rac,0.14
Database Administrator,linux,0.12
Database Administrator,oracle,0.12
Database Administrator,database design,0.11
Database Administrator,oracle database,0.1
Database Administrator,database administrator,0.08
Database Administrator,patching,0.08
Database Administrator,unix,0.08
Database Administrator,apps dba,0.07
Database Administrator,data modeling,0.07
Database Administrator,html,0.07
Database Administrator,ms sql,0.07
Database Administrator,troubleshooting,0.07
Database Administrator,asm,0.06
Database Administrator,backup,0.06
Database Administrator,disaster recovery,0.06
Database Administrator,golden gate,0.06
Database Administrator,operations,0.06
Database Administrator,oracle apps dba,0.06
Database Administrator,oracle rac,0.06
Database Administrator,performance monitoring,0.06
Database Administrator,aws,0.05
Database Administrator,cloning,0.05
Database Administrator,computer science,0.05
Database Administrator,database,0.05
Database Administrator,dataguard,0.05
Database Administrator,exadata,0.05
Database Administrator,mongodb,0.05
Database Administrator,nosql,0.05
Database Administrator,oracle apps,0.05
Database Administrator,plsql,0.05
Database Administrator,production support,0.05
Database Administrator,python,0.05
Database Administrator,replication,0.05
Database Administrator,rman,0.05
Database Administrator,sql dba,0.05
Database Administrator,sql server,0.05
Database Administrator,ssis,0.05
Database Administrator,ssrs,0.05
Database Administrator,technical support,0.05
Database Administrator,weblogic,0.05
Database Administrator,windows,0.05
DevOps Engineer,devops,0.49
DevOps Engineer,python,0.34
DevOps Engineer,jenkins,0.32
DevOps Engineer,linux,0.32
DevOps Engineer,aws,0.28
DevOps Engineer,ansible,0.21
DevOps Engineer,docker,0.21
DevOps Engineer,git,0.2
DevOps Engineer,puppet,0.18
DevOps Engineer,cloud,0.15
DevOps Engineer,automation,0.12
DevOps Engineer,configuration management,0.12
DevOps Engineer,perl,0.12
DevOps Engineer,ruby,0.12
DevOps Engineer,shell scripting,0.12
DevOps Engineer,unix,0.11
DevOps Engineer,chef,0.1
DevOps Engineer,mysql,0.1
DevOps Engineer,maven,0.09
DevOps Engineer,windows,0.09
DevOps Engineer,java,0.08
DevOps Engineer,javascript,0.08
DevOps Engineer,agile,0.07
DevOps Engineer,build,0.07
DevOps Engineer,dns,0.07
DevOps Engineer,monitoring,0.07
DevOps Engineer,networking,0.07
DevOps Engineer,open source,0.07
DevOps Engineer,sql,0.07
DevOps Engineer,azure,0.06
DevOps Engineer,bash,0.06
DevOps Engineer,continuous integration,0.06
DevOps Engineer,jira,0.06
DevOps Engineer,scripting,0.06
DevOps Engineer,coding,0.05
DevOps Engineer,computer science,0.05
DevOps Engineer,debugging,0.05
DevOps Engineer,github,0.05
DevOps Engineer,infrastructure,0.05
DevOps Engineer,openstack,0.05
DevOps Engineer,svn,0.05
DevOps Engineer,tools,0.05
Embedded Systems Engineer,embedded,0.23
Embedded Systems Engineer,c++,0.22
Embedded Systems Engineer,spi,0.22
Embedded Systems Engineer,rtos,0.2
Embedded Systems Engineer,embedded c,0.19
Embedded Systems Engineer,embedded software,0.14
Embedded Systems Engineer,firmware,0.13
Embedded Systems Engineer,i2c,0.13
Embedded Systems Engineer,linux,0.13
Embedded Systems Engineer,development,0.12
Embedded Systems Engineer,python,0.12
Embedded Systems Engineer,usb,0.12
Embedded Systems Engineer,design,0.1
Embedded Systems Engineer,autosar,0.09
Embedded Systems Engineer,debugging,0.09
Embedded Systems Engineer,embedded systems,0.09
Embedded Systems Engineer,microcontroller,0.09
Embedded Systems Engineer,programming,0.09
Embedded Systems Engineer,tools,0.09
Embedded Systems Engineer,uart,0.09
Embedded Systems Engineer,automotive,0.07
Embedded Systems Engineer,embedded development,0.07
Embedded Systems Engineer,embedded software development,0.07
Embedded Systems Engineer,ethernet,0.07
Embedded Systems Engineer,firmware development,0.07
Embedded Systems Engineer,javascript,0.07
Embedded Systems Engineer,sql,0.07
Embedded Systems Engineer,algorithms,0.06
Embedded Systems Engineer,arm,0.06
Embedded Systems Engineer,assembly language,0.06
Embedded Systems Engineer,device drivers,0.06
Embedded Systems Engineer,emc,0.06
Embedded Systems Engineer,hardware,0.06
Embedded Systems Engineer,html,0.06
Embedded Systems Engineer,oracle,0.06
Embedded Systems Engineer,sensors,0.06
Embedded Systems Engineer,soc,0.06
Embedded Systems Engineer,testing,0.06
Frontend Developer,javascript,0.71
Frontend Developer,html,0.46
Frontend Developer,css,0.4
Frontend Developer,front end,0.4
Frontend Developer,jquery,0.38
Frontend Developer,html5,0.3
Frontend Developer,angularjs,0.24
Frontend Developer,css3,0.23
Frontend Developer,bootstrap,0.18
Frontend Developer,ui development,0.18
Frontend Developer,web technologies,0.18
Frontend Developer,ajax,0.15
Frontend Developer,react.js,0.14
Frontend Developer,photoshop,0.09
Frontend Developer,git,0.08
Frontend Developer,json,0.08
Frontend Developer,agile,0.07
Frontend Developer,coding,0.07
Frontend Developer,design,0.07
Frontend Developer,java,0.07
Frontend Developer,node.js,0.07
Frontend Developer,web development,0.07
Frontend Developer,developer,0.06
Frontend Developer,mysql,0.06
Frontend Developer,sql,0.06
Frontend Developer,web services,0.06
Frontend Developer,backend,0.05
Frontend Developer,debugging,0.05
Frontend Developer,development,0.05
Frontend Developer,mvc,0.05
Frontend Developer,php,0.05
Frontend Developer,python,0.05
Frontend Developer,rest,0.05
Frontend Developer,ui developer,0.05
Frontend Developer,web,0.05
Frontend Developer,xml,0.05
Full Stack Developer,javascript,0.56
Full Stack Developer,html,0.3
Full Stack Developer,java,0.27
Full Stack Developer,angularjs,0.25
Full Stack Developer,css,0.22
Full Stack Developer,jquery,0.17
Full Stack Developer,node.js,0.17
Full Stack Developer,python,0.16
Full Stack Developer,react.js,0.16
Full Stack Developer,mysql,0.14
Full Stack Developer,hibernate,0.13
Full Stack Developer,php,0.12
Full Stack Developer,spring,0.12
Full Stack Developer,core java,0.11
Full Stack Developer,mongodb,0.11
Full Stack Developer,.net,0.1
Full Stack Developer,j2ee,0.1
Full Stack Developer,mvc,0.1
Full Stack Developer,web development,0.1
Full Stack Developer,front end,0.09
Full Stack Developer,html5,0.09
Full Stack Developer,sql,0.09
Full Stack Developer,web technologies,0.09
Full Stack Developer,aws,0.08
Full Stack Developer,git,0.08
Full Stack Developer,json,0.08
Full Stack Developer,object oriented programming,0.08
Full Stack Developer,rest,0.08
Full Stack Developer,spring boot,0.08
Full Stack Developer,web services,0.08
Full Stack Developer,ajax,0.07
Full Stack Developer,bootstrap,0.07
Full Stack Developer,microservices,0.07
Full Stack Developer,design patterns,0.06
Full Stack Developer,nosql,0.06
Full Stack Developer,postgresql,0.06
Full Stack Developer,software development,0.06
Full Stack Developer,agile,0.05
Full Stack Developer,backend,0.05
Full Stack Developer,computer science,0.05
Full Stack Developer,css3,0.05
Full Stack Developer,design,0.05
Full Stack Developer,development,0.05
Full Stack Developer,laravel,0.05
Full Stack Developer,maven,0.05
Full Stack Developer,software,0.05
Full Stack Developer,web,0.05
Machine Learning Engineer,machine learning,0.85
Machine Learning Engineer,python,0.56
Machine Learning Engineer,artificial intelligence,0.29
Machine Learning Engineer,deep learning,0.29
Machine Learning Engineer,natural language processing,0.29
Machine Learning Engineer,c++,0.21
Machine Learning Engineer,computer vision,0.21
Machine Learning Engineer,data analytics,0.15
Machine Learning Engineer,java,0.15
Machine Learning Engineer,algorithms,0.12
Machine Learning Engineer,data management,0.12
Machine Learning Engineer,big data,0.09
Machine Learning Engineer,data visualization,0.09
Machine Learning Engineer,linux,0.09
Machine Learning Engineer,matlab,0.09
Machine Learning Engineer,neural networks,0.09
Machine Learning Engineer,opencv,0.09
Machine Learning Engineer,predictive analytics,0.09
Machine Learning Engineer,sas,0.09
Machine Learning Engineer,scala,0.09
Machine Learning Engineer,spark,0.09
Machine Learning Engineer,sql,0.09
Machine Learning Engineer,aws,0.06
Machine Learning Engineer,computer science,0.06
Machine Learning Engineer,data mining,0.06
Machine Learning Engineer,data science,0.06
Machine Learning Engineer,data structures,0.06
Machine Learning Engineer,git,0.06
Machine Learning Engineer,hadoop,0.06
Machine Learning Engineer,image processing,0.06
Machine Learning Engineer,information technology,0.06
Machine Learning Engineer,mysql,0.06
Mobile App Developer,javascript,0.48
Mobile App Developer,android,0.4
Mobile App Developer,ios,0.29
Mobile App Developer,application development,0.2
Mobile App Developer,mobile application development,0.18
Mobile App Developer,application,0.17
Mobile App Developer,html,0.17
Mobile App Developer,mobile,0.17
Mobile App Developer,java,0.14
Mobile App Developer,css,0.12
Mobile App Developer,development,0.12
Mobile App Developer,jquery,0.12
Mobile App Developer,json,0.12
Mobile App Developer,html5,0.11
Mobile App Developer,web,0.11
Mobile App Developer,developer,0.09
Mobile App Developer,iphone,0.09
Mobile App Developer,mysql,0.09
Mobile App Developer,react.js,0.09
Mobile App Developer,web technologies,0.09
Mobile App Developer,xcode,0.09
Mobile App Developer,mobile applications,0.08
Mobile App Developer,php,0.08
Mobile App Developer,sql,0.08
Mobile App Developer,sqlite,0.08
Mobile App Developer,xml,0.08
Mobile App Developer,android sdk,0.06
Mobile App Developer,android studio,0.06
Mobile App Developer,api,0.06
Mobile App Developer,computer science,0.06
Mobile App Developer,css3,0.06
Mobile App Developer,git,0.06
Mobile App Developer,mobile application,0.06
Mobile App Developer,object oriented programming,0.06
Mobile App Developer,objective c,0.06
Mobile App Developer,testing,0.06
Mobile App Developer,.net,0.05
Mobile App Developer,agile,0.05
Mobile App Developer,android development,0.05
Mobile App Developer,architecture,0.05
Mobile App Developer,bootstrap,0.05
Mobile App Developer,brew,0.05
Mobile App Developer,front end,0.05
Mobile App Developer,gradle,0.05
Mobile App Developer,ios development,0.05
Mobile App Developer,jquery mobile,0.05
Mobile App Developer,linux,0.05
Mobile App Developer,native,0.05
Mobile App Developer,photoshop,0.05
Mobile App Developer,python,0.05
Mobile App Developer,software,0.05
Mobile App Developer,swift,0.05
Mobile App Developer,technical,0.05
Mobile App Developer,windows mobile,0.05
NLP Engineer,natural language processing,1.0
NLP Engineer,machine learning,0.75
NLP Engineer,python,0.75
NLP Engineer,algorithms,0.5
NLP Engineer,c++,0.5
NLP Engineer,customer service,0.5
NLP Engineer,customer support,0.5
NLP Engineer,tools,0.5
NLP Engineer,analytics,0.25
NLP Engineer,aws,0.25
NLP Engineer,chat,0.25
NLP Engineer,computer science,0.25
NLP Engineer,data modeling,0.25
NLP Engineer,data science,0.25
NLP Engineer,human resource management,0.25
NLP Engineer,interaction design,0.25
NLP Engineer,management,0.25
NLP Engineer,map,0.25
NLP Engineer,mysql,0.25
NLP Engineer,neural networks,0.25
NLP Engineer,open source,0.25
NLP Engineer,packaging,0.25
NLP Engineer,san,0.25
NLP Engineer,scala,0.25
NLP Engineer,sql,0.25
NLP Engineer,text mining,0.25
NLP Engineer,web chat,0.25
Network Engineer,networking,0.59
Network Engineer,network engineering,0.29
Network Engineer,switching,0.25
Network Engineer,ospf,0.22
Network Engineer,bgp,0.2
Network Engineer,lan,0.18
Network Engineer,wan,0.18
Network Engineer,ccna,0.16
Network Engineer,routing,0.16
Network Engineer,dns,0.14
Network Engineer,network administrator,0.14
Network Engineer,eigrp,0.12
Network Engineer,firewall,0.12
Network Engineer,troubleshooting,0.12
Network Engineer,ccnp,0.1
Network Engineer,network administration,0.1
Network Engineer,vpn,0.1
Network Engineer,dhcp,0.08
Network Engineer,hardware,0.08
Network Engineer,linux,0.08
Network Engineer,mpls,0.08
Network Engineer,windows,0.08
Network Engineer,cisco,0.06
Network Engineer,cisco asa,0.06
Network Engineer,igrp,0.06
Network Engineer,management,0.06
Network Engineer,monitoring,0.06
Network Engineer,operating system,0.06
Network Engineer,project management,0.06
Network Engineer,python,0.06
Network Engineer,qos,0.06
Network Engineer,routing protocols,0.06
Network Engineer,sql,0.06
Network Engineer,stp,0.06
Network Engineer,vlan,0.06
QA Engineer,selenium,0.32
QA Engineer,automation testing,0.26
QA Engineer,manual testing,0.23
QA Engineer,testing,0.21
QA Engineer,test cases,0.2
QA Engineer,automation,0.15
QA Engineer,python,0.14
QA Engineer,sql,0.13
QA Engineer,agile,0.12
QA Engineer,test engineering,0.12
QA Engineer,java,0.11
QA Engineer,software testing,0.1
QA Engineer,performance testing,0.09
QA Engineer,automation framework,0.08
QA Engineer,computer science,0.08
QA Engineer,functional testing,0.08
QA Engineer,regression testing,0.08
QA Engineer,sdlc,0.08
