course_title,skills,difficulty,rating,course_url,duration_hrs,platform,category
IoT Networking,"internet, internet of things (iot), wireless, front and back ends",Intermediate,4.9,https://www.coursera.org/learn/iot-networking?specialization=uiuc-iot,20.0,Coursera,Computer Science
Python Data Structures,"python syntax and semantics, data structure, tuple, python",Intermediate,4.9,https://www.coursera.org/learn/python-data?specialization=python,19.0,Coursera,Computer Science
Human Factors in AI,"machine learning, privacy, design thinking, ethics",Intermediate,4.9,https://www.coursera.org/learn/human-factors-in-artificial-intelligence?specialization=ai-product-management-duke,17.0,Coursera,Data Science
"Unsupervised Learning, Recommenders, Reinforcement Learning","collaborative filtering, unsupervised learning, recommender systems, reinforcement learning, anomaly detection",Intermediate,4.9,https://www.coursera.org/learn/unsupervised-learning-recommenders-reinforcement-learning?specialization=machine-learning-introduction,27.0,Coursera,Data Science
Introduction to Agile Development and Scrum,"agile software development, scrum methodology, zenhub, kanban, sprint planning",Beginner,4.9,https://www.coursera.org/learn/agile-development-and-scrum?specialization=devops-cloud-and-agile-foundations,9.0,Coursera,Computer Science
"GIS, Mapping, and Spatial Analysis Specialization","geographic information system (gis), cartography, esri, mapping, spatial analysis",Intermediate,4.9,https://www.coursera.org/specializations/gis-mapping-spatial-analysis,120.0,Coursera,Data Science
Business Data Management and Communication Specialization,"asset management, business analytics, financial accounting, data analysis, rstudio, accounting, accrual, financial statement, cash flow, cash flow statement, analytics, health care",Intermediate,4.9,https://www.coursera.org/specializations/business-data-management-communication,120.0,Coursera,Data Science
Private Cloud Management on IBM Power Systems,"ibm powervc, infrastructure as a service, openstack, cloud computing, ibm cloud",Intermediate,4.9,https://www.coursera.org/learn/private-cloud-ibm-power-systems?specialization=linux-private-cloud-administration-power-systems,13.0,Coursera,Information Technology
Neural Networks and Deep Learning,"deep learning, artificial neural network, backpropagation, python, neural network architecture",Intermediate,4.9,https://www.coursera.org/learn/neural-networks-deep-learning?specialization=deep-learning,24.0,Coursera,Data Science
Advanced Learning Algorithms,"artificial neural network, xgboost, tensorflow, tree ensembles, advice for model development",Advanced,4.9,https://www.coursera.org/learn/advanced-learning-algorithms?specialization=machine-learning-introduction,34.0,Coursera,Data Science
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),"logic gate, computer architecture, assembly languages, hardware description language (hdl)",Intermediate,4.9,https://www.coursera.org/learn/build-a-computer,43.0,Coursera,Computer Science
Google UX Design (PT) Professional Certificate,"pesquisa de ux, design de experiência do usuário (uxd), wireframe, prototipo, experiência do usuário (ux), testagem de usabilidade, maquete, figma, adobe xd, empregos em design de ux",Advanced,4.9,https://www.coursera.org/professional-certificates/ux-design-do-google,240.0,Coursera,Computer Science
Aspectos básicos del diseño de la experiencia del usuario,"experiencia del usuario (ux), esquema, diseño de la experiencia del usuario (uxd), investigación en ux, prototipo",Intermediate,4.9,https://www.coursera.org/learn/aspectos-basicos-del-diseno-de-la-experiencia-del-usuario-ux,20.0,Coursera,Computer Science
Google IT Automation with Python Professional Certificate,"using version control, troubleshooting & debugging, python, configuration management, automation",Advanced,4.9,https://www.coursera.org/professional-certificates/google-it-automation,240.0,Coursera,Information Technology
3D Reconstruction - Single Viewpoint ,"photometric stereo, depth from focus and defocus, structed light methods, reflectance models, radiometry",Intermediate,4.9,https://www.coursera.org/learn/3d-reconstruction---single-viewpoint?specialization=firstprinciplesofcomputervision,11.0,Coursera,Computer Science
"Custom Models, Layers, and Loss Functions with TensorFlow","functional api, custom layers, custom and exotic models with functional api, custom loss functions",Intermediate,4.9,https://www.coursera.org/learn/custom-models-layers-loss-functions-with-tensorflow,31.0,Coursera,Data Science
The Power of Statistics,"statistical analysis, python, effective communication, statistical hypothesis testing, probability distribution",Intermediate,4.9,https://www.coursera.org/learn/the-power-of-statistics,33.0,Coursera,Data Science
Google Data Analytics (PT) Professional Certificate,"visualização de dados (dataviz), limpeza de dados, planilha, sql, análise dos dados, análise de dados, questionamento, solução de problemas, tomada de decisões, metadados, ética em dados, coleta de dados, integridade dos dados, determinação do tamanho da amostra, cálculos de dados, agregação de dados, apresentação, software tableau, programação em r, r markdown, rstudio, estudo de caso, portfólio profissional",Advanced,4.9,https://www.coursera.org/professional-certificates/analise-de-dados-do-google,240.0,Coursera,Data Science
Convolutional Neural Networks,"deep learning, facial recognition system, convolutional neural network, tensorflow, object detection and segmentation",Intermediate,4.9,https://www.coursera.org/learn/convolutional-neural-networks?specialization=deep-learning,36.0,Coursera,Data Science
Digital Forensics Essentials (DFE),"digital forensics, computer forensics",Intermediate,4.9,https://www.coursera.org/learn/digital-forensics-essentials-dfe?specialization=cybersecurity-attack-and-defense,25.0,Coursera,Computer Science
C# Class Development,"crt0, for loop, console applications, foreach loop",Intermediate,4.9,https://www.coursera.org/learn/csharp-class-development?specialization=programming-unity-game-development,28.0,Coursera,Computer Science
UiPath Orchestrator and Capstone Projects,"asset, uipath orchestrator, orchestrator user interface, queues",Intermediate,4.9,https://www.coursera.org/learn/uipath-orchestrator-and-capstone-projects?specialization=roboticprocessautomation,6.0,Coursera,Computer Science
Mathematics for Engineers Specialization,"differential equations, vector calculus, matrix algebra, numerical analysis, computational fluid dynamics (cfd)",Intermediate,4.9,https://www.coursera.org/specializations/mathematics-engineers,120.0,Coursera,Math and Logic
Supervised Machine Learning: Regression and Classification ,"regularization to avoid overfitting, gradient descent, supervised learning, linear regression, logistic regression for classification",Intermediate,4.9,https://www.coursera.org/learn/machine-learning?specialization=machine-learning-introduction,33.0,Coursera,Data Science
An Introduction to Interactive Programming in Python (Part 2),"python syntax and semantics, logic programming, python, object-oriented programming (oop)",Beginner,4.9,https://www.coursera.org/learn/interactive-python-2?specialization=computer-fundamentals,15.0,Coursera,Computer Science
Build Wireframes and Low-Fidelity Prototypes,"user experience (ux), ux research, wireframe, prototype, user experience design (uxd)",Intermediate,4.9,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes,23.0,Coursera,Computer Science
Analitik Data Google Professional Certificate,"analisis data, visualisasi data (dataviz), pembersihan data, sql, aplikasi spreadsheet, spreadsheet, pengambilan keputusan, mengajukan pertanyaan, pemecahan masalah, pengumpulan data, metadata, etika data, sample size determination (penentuan ukuran sampel), data integrity (integritas data), data cleansing (pembersihan data), agregasi data, kalkulasi data, perangkat lunak tableau, presentasi, pemrograman r, r markdown, rstudio, studi kasus, portofolio kerja",Advanced,4.9,https://www.coursera.org/professional-certificates/analitik-data-google,180.0,Coursera,Data Science
Soporte de Tecnologías de la Información de Google Professional Certificate,"linux, código binario, solución de problemas, soporte al cliente, ipv4, sistema de nombres de dominio, modelo de red, powershell, interfaz de comandos, sistemas de archivos de linux, protocolo ligero de acceso a directorios, respaldo, servicio de directorio, ciberseguridad, criptografía, seguridad inalámbrica, seguridad de la red",Advanced,4.9,https://www.coursera.org/professional-certificates/soporte-de-tecnologias-de-informacion-google,240.0,Coursera,Information Technology
IBM Applied DevOps Engineering Professional Certificate,"site reliability engineering (sre), devops engineering, kubernetes, agile methodologies, continuous integration and continuous deployment (ci/cd)",Advanced,4.9,https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,120.0,Coursera,Computer Science
Deep Learning Specialization,"artificial neural network, convolutional neural network, tensorflow, recurrent neural network, transformers, deep learning, backpropagation, python, neural network architecture, mathematical optimization, hyperparameter tuning, inductive transfer",Intermediate,4.9,https://www.coursera.org/specializations/deep-learning,100.0,Coursera,Data Science
"C++ Object Basics: Functions, Recursion, and Objects","functions, recursion, objects, c++, computer science",Beginner,4.8,https://www.coursera.org/learn/cpp-object-basics?specialization=hands-on-cpp,8.0,Coursera,Computer Science
Custom and Distributed Training with TensorFlow,"distribution strategies, custom training loops, basic tensor functionality, gradienttape for optimization",Intermediate,4.8,https://www.coursera.org/learn/custom-distributed-training-with-tensorflow?specialization=tensorflow-advanced-techniques,24.0,Coursera,Data Science
Linux Basics: The Command Line Interface - 6,"computer programming, linux, command-line interface",Beginner,4.8,https://www.coursera.org/learn/linux-basics-the-command-line-interface?specialization=c-programming-linux,7.0,Coursera,Computer Science
Fundamentals of Reinforcement Learning,"artificial intelligence, machine learning, reinforcement learning, function approximation, intelligent systems",Beginner,4.8,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning?specialization=reinforcement-learning,15.0,Coursera,Data Science
"Graph Search, Shortest Paths, and Data Structures","graphs, data structure, algorithms, hash table",Intermediate,4.8,https://www.coursera.org/learn/algorithms-graphs-data-structures?specialization=algorithms,15.0,Coursera,Computer Science
Structuring Machine Learning Projects,"deep learning, inductive transfer, machine learning, multi-task learning, decision-making",Intermediate,4.8,https://www.coursera.org/learn/machine-learning-projects?specialization=deep-learning,6.0,Coursera,Data Science
Foundations for Big Data Analysis with SQL,"database (dbms), data warehousing, data analysis, big data, sql",Intermediate,4.8,https://www.coursera.org/learn/foundations-big-data-analysis-sql?specialization=cloudera-big-data-analysis-sql,11.0,Coursera,Data Science
3D Reconstruction - Multiple Viewpoints,"epipolar geometry, camera model, camera calibration, structure from motion, simple stereo",Intermediate,4.8,https://www.coursera.org/learn/3d-reconstruction-multiple-viewpoints?specialization=firstprinciplesofcomputervision,8.0,Coursera,Computer Science
Game Design and Development 4: 3D Platformer,"video game development, unity, game design, technology, game making",Intermediate,4.8,https://www.coursera.org/learn/game-design-and-development-4?specialization=game-design-and-development,12.0,Coursera,Computer Science
Gmail en Español,"file shortcut, email, signature, confidentiality",Intermediate,4.8,https://www.coursera.org/learn/gmail-es?specialization=getting-started-with-google-workspace-es,3.0,Coursera,Information Technology
Web Applications for Everybody Specialization,"jquery, web application development, hypertext preprocessor (php), javascript, mysql, html, cascading style sheets (css), phpmyadmin, relational database, sql, create, read, update and delete",Intermediate,4.8,https://www.coursera.org/specializations/web-applications,120.0,Coursera,Computer Science
React Basics,"web application, front-end web development, react (web framework), application development",Beginner,4.8,https://www.coursera.org/learn/react-basics?specialization=meta-react-native,26.0,Coursera,Computer Science
"Everyday Excel, Part 2","data management, spreadsheet, microsoft excel, problem solving, real world",Intermediate,4.8,https://www.coursera.org/learn/everyday-excel-part-2?specialization=everyday-excel,22.0,Coursera,Computer Science
AWS Cloud Technical Essentials,"aws identity and access management, networking on aws, aws management console, cloud computing, aws security",Intermediate,4.8,https://www.coursera.org/learn/aws-cloud-technical-essentials?specialization=aws-devops,24.0,Coursera,Information Technology
Network Security,"cyberattacks, network security, threat",Intermediate,4.8,https://www.coursera.org/learn/-network-security?specialization=certified-in-cybersecurity,8.0,Coursera,Information Technology
The Foundations of Cybersecurity,"security vulnerabilities and treatments, threats to cybersecurity, cybersecurity terminology, cybersecurity program elements",Intermediate,4.8,https://www.coursera.org/learn/foundations-cybersecurity?specialization=managing-cybersecurity,8.0,Coursera,Information Technology
Introduction to Structured Query Language (SQL),"phpmyadmin, mysql, relational database, sql",Beginner,4.8,https://www.coursera.org/learn/intro-sql?specialization=web-applications,15.0,Coursera,Computer Science
Web Design for Everybody: Basics of Web Development & Coding Specialization,"web development, cascading style sheets (css), html5, javascript, responsive web design, web design, web accessibility, html, style sheets, document object model (dom), bootstrap (front-end framework)",Beginner,4.8,https://www.coursera.org/specializations/web-design,120.0,Coursera,Computer Science
User Experience Research and Design Specialization,"user research, affinity diagram, human computer interaction, user experience (ux), user experience design (uxd), adobe photoshop",Intermediate,4.8,https://www.coursera.org/specializations/michiganux,180.0,Coursera,Computer Science
Excel/VBA for Creative Problem Solving Specialization,"microsoft excel vba, computer programming, problem solving, arrays, debugging",Intermediate,4.8,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,80.0,Coursera,Computer Science
Introduction to Programming with MATLAB,"computer programming, problem solving, matlab, programming language",Beginner,4.8,https://www.coursera.org/learn/matlab?specialization=matlab-programming-engineers-scientists,35.0,Coursera,Computer Science
Advanced Data Structures in Java,"graphs, search algorithm, graph algorithms, graph data structures",Advanced,4.8,https://www.coursera.org/learn/advanced-data-structures?specialization=java-object-oriented,28.0,Coursera,Computer Science
Access Control Concepts,"logical controls, administrative controls, physical controls",Intermediate,4.8,https://www.coursera.org/learn/access-control-concepts?specialization=certified-in-cybersecurity,4.0,Coursera,Information Technology
Enterprise Systems,"management, it skills and knowledge",Intermediate,4.8,https://www.coursera.org/learn/enterprise-systems?specialization=information-systems,7.0,Coursera,Information Technology
Programming for Everybody (Getting Started with Python),"python syntax and semantics, basic programming language, computer programming, python",Beginner,4.8,https://www.coursera.org/learn/python?specialization=python,19.0,Coursera,Computer Science
Sequence Models,"natural language processing, long short term memory (lstm), gated recurrent unit (gru), recurrent neural network, attention models",Intermediate,4.8,https://www.coursera.org/learn/nlp-sequence-models?specialization=deep-learning,37.0,Coursera,Data Science
The GRC Approach to Managing Cybersecurity,"cybersecurity planning, cybersecurity performance measurement, risk identification, risk treatment",Intermediate,4.8,https://www.coursera.org/learn/grc-approach-to-managing-cybersecurity?specialization=managing-cybersecurity,10.0,Coursera,Information Technology
Sample-based Learning Methods,"artificial intelligence, machine learning, reinforcement learning, function approximation, intelligent systems",Intermediate,4.8,https://www.coursera.org/learn/sample-based-learning-methods?specialization=reinforcement-learning,21.0,Coursera,Data Science
The Fundamentals of Computing Capstone Exam,"binary tree, algorithm design, python, graphs, computer programming",Beginner,4.8,https://www.coursera.org/learn/fundamentals-of-computing-capstone?specialization=computer-fundamentals,1.0,Coursera,Computer Science
MATLAB Programming for Engineers and Scientists Specialization,"matlab, data analysis, object-oriented programming (oop), image processing, computer programming, problem solving, programming language",Intermediate,4.8,https://www.coursera.org/specializations/matlab-programming-engineers-scientists,120.0,Coursera,Computer Science
Networking in Google Cloud Specialization,"google compute engine, google app engine (gae), google cloud platform, cloud computing",Intermediate,4.8,https://www.coursera.org/specializations/networking-google-cloud-platform,120.0,Coursera,Information Technology
Data Structures and Performance,"trees (data structures), data structure, linked list, binary tree",Intermediate,4.8,https://www.coursera.org/learn/data-structures-optimizing-performance?specialization=object-oriented-programming,41.0,Coursera,Computer Science
Reinforcement Learning Specialization,"artificial intelligence, machine learning, reinforcement learning, function approximation, intelligent systems",Intermediate,4.8,https://www.coursera.org/specializations/reinforcement-learning,100.0,Coursera,Data Science
Geographic Information Systems  (GIS) Specialization,"geographic information system (gis), satellite, imagery analysis, model building, spatial visualization, spatial analysis, data analysis, data visualization, software, analytics, workflow, data management",Intermediate,4.8,https://www.coursera.org/specializations/gis,120.0,Coursera,Data Science
Client Needs and Software Requirements ,"agile software development, user story, software requirements, use case",Intermediate,4.8,https://www.coursera.org/learn/client-needs-and-software-requirements?specialization=product-management,12.0,Coursera,Computer Science
Introduction to Data Analytics,"data science, spreadsheet, microsoft excel, data analysis, data visualization",Beginner,4.8,https://www.coursera.org/learn/introduction-to-data-analytics?specialization=digital-strategy,10.0,Coursera,Data Science
Calculus for Machine Learning and Data Science,"calculus, mathematical optimization, gradient descent, machine learning, newton's method",Intermediate,4.8,https://www.coursera.org/learn/machine-learning-calculus?specialization=mathematics-for-machine-learning-and-data-science,25.0,Coursera,Computer Science
Algorithms Specialization,"algorithms, dynamic programming, greedy algorithm, divide and conquer algorithms, randomized algorithm, sorting algorithm, graphs, data structure, hash table, spanning tree, np-completeness",Intermediate,4.8,https://www.coursera.org/specializations/algorithms,80.0,Coursera,Computer Science
Visual Perception,"image segmentation, artificial neural network, apperance matching, tracking, computer vision",Intermediate,4.8,https://www.coursera.org/learn/perception?specialization=firstprinciplesofcomputervision,10.0,Coursera,Computer Science
Python for Everybody Specialization,"json, xml, python, database (dbms), python syntax and semantics, basic programming language, computer programming, data structure, tuple, web scraping, sqlite, sql",Intermediate,4.8,https://www.coursera.org/specializations/python,160.0,Coursera,Computer Science
Programming for Data Science with R,"git, sql queries, sql joins, sql aggregations, sql window functions, sql subqueries, control flow in r, r syntax, r function definition, r data structures, data structures, unix shell, ides",Intermediate,4.8,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,60.0,Udacity,
Business Applications of Hypothesis Testing and Confidence Interval Estimation ,"data analysis, microsoft excel, statistical hypothesis testing",Intermediate,4.8,https://www.coursera.org/learn/hypothesis-testing-confidence-intervals?specialization=business-statistics-analysis,24.0,Coursera,Data Science
TensorFlow: Advanced Techniques Specialization,"model interpretability, custom training loops, custom and exotic models, generative machine learning, object detection, functional api, custom layers, custom and exotic models with functional api, custom loss functions, distribution strategies, basic tensor functionality, gradienttape for optimization",Advanced,4.8,https://www.coursera.org/specializations/tensorflow-advanced-techniques,100.0,Coursera,Data Science
Introduction to DevOps,"test-driven development, ci/cd, behavior-driven development, devops",Beginner,4.8,https://www.coursera.org/learn/intro-to-devops?specialization=devops-cloud-and-agile-foundations,9.0,Coursera,Computer Science
Linear Regression and Modeling ,"statistics, linear regression, r programming, regression analysis",Intermediate,4.8,https://www.coursera.org/learn/linear-regression-model?specialization=statistics,10.0,Coursera,Data Science
Object-Oriented C++: Inheritance and Encapsulation,"object-oriented programming (oop), polymorphism, c++, inheritance, computer science",Intermediate,4.8,https://www.coursera.org/learn/object-oriented-cpp?specialization=hands-on-cpp,9.0,Coursera,Computer Science
Analysis for Business Systems,"business analysis skills and knowledge, management, project management skills and knowledge",Intermediate,4.8,https://www.coursera.org/learn/analysis-for-business-systems?specialization=information-systems,9.0,Coursera,Information Technology
"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming","spanning tree, algorithms, dynamic programming, greedy algorithm",Intermediate,4.8,https://www.coursera.org/learn/algorithms-greedy?specialization=algorithms,15.0,Coursera,Computer Science
Using Databases with Python,"python, database (dbms), sqlite, sql",Intermediate,4.8,https://www.coursera.org/learn/python-databases?specialization=python,14.0,Coursera,Computer Science
Advanced Computer Vision with TensorFlow,"salience, image segmentation, model interpretability, class activation maps, tensorflow object detection api",Advanced,4.8,https://www.coursera.org/learn/advanced-computer-vision-with-tensorflow?specialization=tensorflow-advanced-techniques,19.0,Coursera,Data Science
Web Design for Everybody Capstone,"web design, html, javascript, cascading style sheets (css)",Intermediate,4.8,https://www.coursera.org/learn/web-design-project?specialization=web-design,17.0,Coursera,Computer Science
Information Technology (IT) and Cloud Fundamentals Specialization,"it fundamentals, cybersecurity, cloud, networking, hardware, technical support, it service management (itsm), troubleshooting, it career, software development process, database management, software application development",Beginner,4.8,https://www.coursera.org/specializations/it-cloud-fundamentals,140.0,Coursera,Information Technology
"Introduction to Software, Programming, and Databases ","software development process, database management, it fundamentals, software application development, computer programming",Beginner,4.8,https://www.coursera.org/learn/introduction-software-programming-and-databases?specialization=it-cloud-fundamentals,17.0,Coursera,Computer Science
Fundamentals of Data Visualization,"evaluation design, visualizing data with altair, user-centered design (create basic visualizations that match data and user needs), task analysis (define elements of a data analysis and/or communication problem)",Beginner,4.8,https://www.coursera.org/learn/fundamentals-of-data-visualization?specialization=vital-skills-for-data-science,14.0,Coursera,Data Science
Using Python to Access Web Data,"json, xml, python, web scraping",Intermediate,4.8,https://www.coursera.org/learn/python-network-data?specialization=python,19.0,Coursera,Computer Science
"Excel/VBA for Creative Problem Solving, Part 1","microsoft excel vba, computer programming, problem solving, debugging",Intermediate,4.8,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1?specialization=excel-vba-creative-problem-solving,20.0,Coursera,Computer Science
Working with Data,"react (javascript library), data management, application development, rest apis",Intermediate,4.8,https://www.coursera.org/learn/meta-working-with-data?specialization=meta-react-native,20.0,Coursera,Computer Science
Agile Planning for Software Products,"software development, agile management, program evaluation and review technique (pert), agile software development",Intermediate,4.8,https://www.coursera.org/learn/agile-planning-for-software-products?specialization=product-management,12.0,Coursera,Computer Science
Fundamentals of Computing Specialization,"recursion, algorithms, python, dynamic programming, programming principles, python syntax and semantics, computer programming, logic programming, object-oriented programming (oop), combinatorics, tree (data structure), graph theory",Beginner,4.8,https://www.coursera.org/specializations/computer-fundamentals,140.0,Coursera,Computer Science
Introduction to CSS3,"web design, style sheets, cascading style sheets (css), web development",Beginner,4.8,https://www.coursera.org/learn/introcss?specialization=web-design,11.0,Coursera,Computer Science
Modern Big Data Analysis with SQL Specialization,"cloud storage, data analysis, big data, cloudera, sql, database (dbms), data warehousing, apache hive, apache impala, data management, distributed file systems",Intermediate,4.8,https://www.coursera.org/specializations/cloudera-big-data-analysis-sql,80.0,Coursera,Data Science
TensorFlow 2 for Deep Learning Specialization,"tensorflow, keras, tensorflow probability, probabilistic neural networks, deep learning, probabilistic neural network, generative model, probabilistic programming language (prpl)",Intermediate,4.8,https://www.coursera.org/specializations/tensorflow2-deeplearning,80.0,Coursera,Data Science
First Principles of Computer Vision Specialization,"perception, features and boundaries, object recognition, camera and imaging, 3d reconstruction, fourier transform, high-dynamic-range (hdr) imaging, image formation, convolution and deconvolution, working principles of a camera, scale space, active contours",Intermediate,4.8,https://www.coursera.org/specializations/firstprinciplesofcomputervision,140.0,Coursera,Computer Science
Getting started with Google Workspace Specialization,"communication, spreadsheet software, collaboration",Beginner,4.8,https://www.coursera.org/specializations/getting-started-with-google-workspace,60.0,Coursera,Information Technology
Introduction to Hardware and Operating Systems,"technical support, it service management (itsm), troubleshooting, it career",Beginner,4.8,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems?specialization=it-cloud-fundamentals,17.0,Coursera,Information Technology
Cybersecurity Capstone:  Breach Response Case Studies,"security analyst, cybersecurity, cyber attack, computer security incident management, breach (security exploit)",Intermediate,4.8,https://www.coursera.org/learn/ibm-cybersecurity-breach-case-studies?specialization=security-analyst-fundamentals,15.0,Coursera,Information Technology
Evaluating Designs with Users,"user research, human computer interaction, user experience (ux), user experience design (uxd)",Intermediate,4.8,https://www.coursera.org/learn/evaluating-designs-with-users?specialization=michiganux,8.0,Coursera,Computer Science
Customising your models with TensorFlow 2,"tensorflow, deep learning, keras",Intermediate,4.8,https://www.coursera.org/learn/customising-models-tensorflow2?specialization=tensorflow2-deeplearning,27.0,Coursera,Data Science
Tools for Exploratory Data Analysis in Business,"r and rstudio, data cleansing and exploration, alteryx, analytic mindset, powerbi",Intermediate,4.8,https://www.coursera.org/learn/tools-exploratory-data-analysis-business?specialization=analytics,17.0,Coursera,Data Science
Linux and Private Cloud Administration on IBM Power Systems Specialization,"system administration, red hat enterprise linux, virtualization, ibm power systems, cloud computing, red hat linux, linux, ibm powervc, infrastructure as a service, openstack, ibm cloud",Intermediate,4.8,https://www.coursera.org/specializations/linux-private-cloud-administration-power-systems,80.0,Coursera,Information Technology
Managing Cybersecurity Specialization,"security management, network security, risk management, security governance, computer security incident management, security vulnerabilities and treatments, threats to cybersecurity, cybersecurity terminology, cybersecurity program elements, cybersecurity planning, cybersecurity performance measurement, risk identification",Intermediate,4.8,https://www.coursera.org/specializations/managing-cybersecurity,180.0,Coursera,Information Technology
Prediction and Control with Function Approximation,"artificial intelligence, machine learning, reinforcement learning, function approximation, intelligent systems",Intermediate,4.8,https://www.coursera.org/learn/prediction-control-function-approximation?specialization=reinforcement-learning,21.0,Coursera,Data Science
"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them","data structure, algorithms, np-completeness, dynamic programming",Intermediate,4.8,https://www.coursera.org/learn/algorithms-npcomplete?specialization=algorithms,13.0,Coursera,Computer Science
Game Design and Development 5: Capstone Project,"video game development, unity, game design, technology, game making",Intermediate,4.8,https://www.coursera.org/learn/game-design-and-development-5?specialization=game-design-and-development,17.0,Coursera,Computer Science
Control Flow in RPA,"error handling approach & activities, control flow activities, loops in studio, sequences, flowcharts and decision making",Intermediate,4.8,https://www.coursera.org/learn/control-flow-in-rpa?specialization=roboticprocessautomation,10.0,Coursera,Computer Science
Game Design and Development 3: 3D Shooter,"video game development, unity, game design, technology, game making",Intermediate,4.8,https://www.coursera.org/learn/game-design-and-development-3?specialization=game-design-and-development,13.0,Coursera,Computer Science
Python Programming Essentials,"codeskulptor, python syntax and semantics, python, debugging",Intermediate,4.8,https://www.coursera.org/learn/python-programming?specialization=introduction-scripting-in-python,9.0,Coursera,Computer Science
Advanced Deployment Scenarios with TensorFlow,"tensorflow serving, machine learning, federated learning, tensorflow hub, tensorboard",Advanced,4.8,https://www.coursera.org/learn/advanced-deployment-scenarios-tensorflow?specialization=tensorflow-data-and-deployment,13.0,Coursera,Computer Science
Apply Generative Adversarial Networks (GANs),"pix2pix, image-to-image translation, cyclegans, convolutional neural network, privacy preservation",Intermediate,4.8,https://www.coursera.org/learn/apply-generative-adversarial-networks-gans?specialization=generative-adversarial-networks-gans,29.0,Coursera,Data Science
Animation with JavaScript and jQuery,"jquery, javascript, animations",Intermediate,4.8,https://www.coursera.org/learn/animation-javascript-jquery?specialization=javascript-beginner,13.0,Coursera,Computer Science
Generative Deep Learning with TensorFlow,"variational autoencoders, auto encoders, generative adversarial networks, neural style transfer",Intermediate,4.8,https://www.coursera.org/learn/generative-deep-learning-with-tensorflow?specialization=tensorflow-advanced-techniques,16.0,Coursera,Data Science
Software Product Management Capstone,"agile software development, software product management, software project management, scrum (software development)",Intermediate,4.8,https://www.coursera.org/learn/software-product-management-capstone?specialization=product-management,19.0,Coursera,Computer Science
Data Visualization with Advanced Excel,"dashboard (business), microsoft excel, data virtualization, data visualization",Advanced,4.8,https://www.coursera.org/learn/advanced-excel?specialization=pwc-analytics,15.0,Coursera,Data Science
Google Meet and Google Chat en Español,"streams, retain, email, upload",Intermediate,4.8,https://www.coursera.org/learn/google-meet-and-google-chat-es?specialization=getting-started-with-google-workspace-es,2.0,Coursera,Information Technology
